粤B33551,114.09993,22.5436,2016-11-01 00:00:00,1460332,0,225,0,,,0,蓝色,
粤BH6851,114.041283,22.644827,2016-10-31 23:59:58,1553590,0,0,0,,,0,黄色,
粤B1V3V5,114.062531,22.5511,2016-10-31 23:59:59,1570602,0,352,0,,,1,蓝色,
粤B4WQ30,113.936432,22.495768,2016-11-01 00:00:00,1432030,32,315,0,,,0,蓝色,
粤B286VX,113.870201,22.6679,2016-10-31 23:59:45,1700275,4,256,0,,,0,蓝色,
粤BS74V3,113.915268,22.576017,2016-10-31 23:59:59,1524493,87,139,0,,,1,蓝色,
粤BJ70E7,114.137169,22.575666,2016-10-31 23:59:59,1498897,79,270,0,,,1,蓝色,
粤BR41Y7,114.062469,22.551067,2016-10-31 23:59:59,1522096,0,315,0,,,1,蓝色,
粤B5MV62,113.876366,22.590233,2016-11-01 00:00:00,1384715,0,0,0,,,0,蓝色,
粤B1ND40,113.909683,22.544216,2016-10-31 23:59:54,1432024,32,90,0,,,0,蓝色,
粤BP54A0,114.132416,22.57955,2016-10-31 23:59:58,1515865,0,100,0,,,1,蓝色,
粤B7VV65,113.974503,22.541067,2016-10-31 23:59:59,1422976,8,45,0,,,1,蓝色,
粤B841ZE,113.953079,22.554083,2016-11-01 00:00:00,1457162,39,90,0,,,1,蓝色,
粤BL4F16,114.041229,22.521017,2016-10-31 23:59:59,1230948,0,327,0,,,0,蓝色,
粤B4V1P9,113.813103,22.6255,2016-10-31 23:58:48,1570178,0,256,0,,,0,蓝色,
粤B9SM33,114.067947,22.521183,2016-11-01 00:00:00,1407720,19,0,0,,,1,蓝色,
粤BF7496,113.837646,22.723444,2016-10-31 23:59:57,1553092,0,327,0,,,0,黄色,
粤BM07T2,114.10437,22.62215,2016-11-01 00:00:00,1511329,0,135,0,,,0,蓝色,
粤BH4Q89,114.175598,22.5623,2016-10-31 23:58:48,1387884,0,0,0,,,0,蓝色,
粤B2WW51,114.24778,22.73455,2016-10-31 23:59:59,1433660,0,53,0,,,0,蓝色,
粤B1E51Z,114.11203,22.548149,2016-11-01 00:00:00,1705970,0,180,0,,,0,蓝色,
粤B1A1R8,114.051697,22.6374,2016-10-31 23:59:59,1655004,0,0,0,,,0,蓝色,
粤BS49U7,114.05117,22.549833,2016-10-31 23:59:59,1524487,51,359,0,,,1,蓝色,
粤BJ74L6,114.021965,22.544783,2016-10-31 23:59:48,1511540,0,315,0,,,1,蓝色,
粤B4ND21,113.709801,22.825912,2016-11-01 00:00:00,1392287,69,290,0,,,0,蓝色,
粤B0WK17,113.9161,22.5313,2016-10-31 23:59:59,1427947,0,0,0,,,0,蓝色,
粤BM21T7,114.11853,22.54015,2016-11-01 00:00:00,1511500,0,45,0,,,1,蓝色,
粤BCJ768,114.059196,22.654034,2016-10-31 23:59:58,1489134,11,201,0,,,0,蓝色,
粤B2A8R1,114.111198,22.5965,2016-11-01 00:00:00,1654983,0,0,0,,,0,蓝色,
粤B8CP47,113.916382,22.53735,2016-11-01 00:00:00,1347837,0,180,0,,,0,蓝色,
粤SYL212,113.725952,23.010349,2016-10-31 23:59:59,1298279,0,0,0,,,0,,
粤B8BU35,114.047585,22.5424,2016-11-01 00:00:00,1342444,73,90,0,,,1,蓝色,
粤B4N514,114.099648,22.538918,2016-10-31 23:55:24,1482961,18,174,0,,,0,蓝色,
粤B2MQ41,113.813034,22.6234,2016-10-31 23:59:59,1384728,0,29,0,,,0,蓝色,
粤BP5331,113.938416,22.563808,2016-10-31 23:59:57,1551586,0,177,0,,,0,黄色,
粤BM34V1,113.887398,22.582199,2016-11-01 00:00:00,1511422,24,45,0,,,1,蓝色,
粤B6WK53,114.100601,22.614218,2016-10-31 23:59:59,1426830,0,111,0,,,0,蓝色,
粤B9BU87,114.125435,22.696568,2016-11-01 00:00:00,1342329,0,315,1,,,1,蓝色,
粤B1NS16,114.122765,22.577967,2016-10-31 23:59:59,1404198,42,173,0,,,0,蓝色,
粤B4FY72,114.047531,22.601084,2016-11-01 00:00:00,1374901,0,0,0,,,0,蓝色,
粤B2UE51,114.117302,22.580133,2016-11-01 00:00:00,1414989,0,45,0,,,1,蓝色,
粤B110ZD,114.102501,22.6208,2016-10-31 23:58:47,1461143,0,256,0,,,0,蓝色,
粤BU5041,114.084648,22.572132,2016-11-01 00:00:00,1407240,0,0,0,,,0,黄色,
粤BQ5C42,114.037148,22.633133,2016-10-31 23:59:43,1265687,49,99,0,,,0,蓝色,
粤B4CJ42,113.944901,22.541967,2016-11-01 00:00:00,1349935,38,135,0,,,1,蓝色,
粤BF6856,114.035217,22.610933,2016-11-01 00:00:00,1517058,0,0,0,,,1,黄色,
粤BL9148,114.076103,22.553917,2016-10-31 23:59:01,1687034,0,0,0,,,0,黄色,
粤BT47P3,113.930748,22.492001,2016-10-31 23:59:48,1520495,22,340,0,,,0,蓝色,
粤B1HY81,114.061813,22.570818,2016-10-31 23:59:59,1373964,0,90,1,,,0,蓝色,
粤BJ49E5,114.113747,22.533533,2016-11-01 00:00:01,1498920,0,315,0,,,0,蓝色,
粤B1X1U5,113.960503,22.5849,2016-11-01 00:00:00,1661994,5,0,0,,,0,蓝色,
粤BN7750,113.266632,23.162466,2016-11-01 00:00:00,1322604,0,0,0,,,0,黄色,
粤B6P5T5,113.839699,22.6026,2016-10-31 23:59:59,1645587,0,0,0,,,0,蓝色,
粤B1BR47,114.112686,22.5854,2016-10-31 23:59:39,1341339,52,315,0,,,1,蓝色,
粤BX5V61,114.06823,22.5219,2016-10-31 23:59:59,1324770,14,16,0,,,1,蓝色,
粤SW935R,113.760864,23.004084,2016-11-01 00:00:01,1540625,0,0,0,,,0,,
粤BZ4332,114.108353,22.596983,2016-10-31 23:59:53,1519047,0,180,0,,,0,黄色,
粤SW789Q,113.699417,22.967566,2016-11-01 00:00:01,1540760,0,0,0,,,0,,
粤B6P5S3黄,11.4045898,2.2600201,2016-10-31 23:59:59,1645508,0,0,0,,,0,黄色,
粤BU12W7,114.104248,22.537884,2016-11-01 00:00:00,1524508,63,116,0,,,1,蓝色,
粤B7L2E0,114.033035,22.566017,2016-10-31 23:59:59,1586448,0,180,0,,,0,蓝色,
粤SL141L,113.916534,22.977182,2016-11-01 00:00:00,1472189,36,208,0,,,0,,
粤B7Y9P6,114.030029,22.5222,2016-11-01 00:00:00,1673261,0,0,0,,,0,蓝色,
粤SM734K,113.680634,22.815117,2016-11-01 00:00:01,1480428,27,166,0,,,0,,
粤BAM239,114.085068,22.57185,2016-11-01 00:00:00,1550171,0,225,0,,,0,黄色,
粤SV217H,113.823586,23.059433,2016-11-01 00:00:01,1539087,0,0,0,,,0,,
粤B6WS48,114.024551,22.675882,2016-10-31 23:59:59,1433593,40,143,0,,,0,蓝色,
粤B4K1P9,113.920418,22.6674,2016-11-01 00:00:01,1590514,57,315,0,,,0,蓝色,
粤B5P2N1,114.120399,22.5389,2016-10-31 23:59:58,1647461,0,0,0,,,0,蓝色,
粤SH204P,113.814713,23.0352,2016-11-01 00:00:00,1450367,0,0,1,,,0,,
粤B1K7P3,113.999649,22.652866,2016-11-01 00:00:00,1588227,0,162,0,,,0,蓝色,
粤SYL285,113.708199,23.06575,2016-11-01 00:00:00,1298283,0,0,0,,,0,,
粤B0NS11,113.922035,22.555149,2016-10-31 23:59:59,1404186,63,93,0,,,0,蓝色,
粤BN14B2,114.101234,22.58465,2016-11-01 00:00:00,1506433,56,315,0,,,1,蓝色,
粤SG073H,113.850304,22.929533,2016-11-01 00:00:01,1429439,79,184,0,,,0,,
粤BP6036,113.893021,22.564318,2016-11-01 00:00:00,1730900,0,192,0,,,0,黄色,
粤B5HX43,114.0439,22.714367,2016-10-31 23:59:59,1374719,0,182,0,,,0,蓝色,
